# No credential-shaped value is copied here: a cell of the form `@label` stands
# for the line of that label in known-secrets.tsv, which is generated.
#
# One row per PATH REGEX declared in a [[allowlists]] block of .gitleaks.toml.
# .ci/gitleaks/test-allowlists.py reads that file as the registry and fails on
# any declared path this table does not exercise, so a new allowlist cannot be
# added without stating, here, exactly how wide it is.
#
# Columns, tab-separated:
#   path-regex   the entry's own regex, verbatim, which is what the coverage
#                check matches on - copy it, do not retype it
#   file-path    a concrete path that regex must match
#   silenced     a line that MUST NOT be reported at that path
#   still-fires  a line at the SAME path that MUST still be reported, or `-`
#                for a blanket entry that has no such line. A `-` is a
#                declaration that the entry excuses every rule at that path.
(^|/)node_modules/	node_modules/pkg/index.js	@r2-secret-keyword	-
(^|/)target/	target/debug/build.rs	@r2-secret-keyword	-
(^|/)dist/	dist/bundle.js	@r2-secret-keyword	-
(^|/)vendor/	vendor/lib.go	@r2-secret-keyword	-
(^|/)\.next/	.next/server/page.js	@r2-secret-keyword	-
(^|/)\.venv/	.venv/lib/mod.py	@r2-secret-keyword	-
(^|/)__pycache__/	__pycache__/mod.py	@r2-secret-keyword	-
(^|/)\.ruff_cache/	.ruff_cache/0.1.0/cache.json	@r2-secret-keyword	-
(^|/)\.mypy_cache/	.mypy_cache/3.12/mod.json	@r2-secret-keyword	-
(^|/)\.pytest_cache/	.pytest_cache/v/cache/lastfailed	@r2-secret-keyword	-
(^|/)\.claude/worktrees/	.claude/worktrees/task/x.py	@r2-secret-keyword	-
(^|/)evals/scrape-baseline/fixtures/	evals/scrape-baseline/fixtures/page.html	@r2-secret-keyword	-
^\.ci/gitleaks/fixtures/known-secrets\.tsv$	.ci/gitleaks/fixtures/known-secrets.tsv	@moonshot-kimi	-
^\.ci/gitleaks/fixtures/allowlist-cases\.tsv$	.ci/gitleaks/fixtures/allowlist-cases.tsv	@moonshot-kimi	-
^fixtures/golden\.(docx|pdf)$	fixtures/golden.docx	@r2-secret-keyword	-
^media/streaming-anix-rs/src/config\.rs$	media/streaming-anix-rs/src/config.rs	src_key: "e185116d9bb2b3fb6e1e5664f7172ead6e5930a3d35691c98921e030124d7100".into(),	@r2-secret-keyword
^media/streaming-anix-rs/(reference/)?config\.example\.conf$	media/streaming-anix-rs/reference/config.example.conf	src_key = "e185116d9bb2b3fb6e1e5664f7172ead6e5930a3d35691c98921e030124d7100"	@r2-secret-keyword
^apps/desktop/src-tauri/src/pipeline/(redactor|selftest)\.rs$	apps/desktop/src-tauri/src/pipeline/redactor.rs	assert!(labels("sk-abcdefghijklmnopqrstuvwx").contains(&"openai-api-key".to_string()));	@github-classic
^ai/local-dictation/apps/desktop/src-tauri/src/pipeline/(redactor|selftest)\.rs$	ai/local-dictation/apps/desktop/src-tauri/src/pipeline/selftest.rs	assert!(labels("sk-abcdefghijklmnopqrstuvwx").contains(&"openai-api-key".to_string()));	@github-classic
^internal/intent/redact_test\.go$	internal/intent/redact_test.go	{"openai key", "key sk-abcdefghijklmnop12345678", "[REDACTED]"},	@github-classic
^internal/cli/status_test\.go$	internal/cli/status_test.go	api_key = "07c2f34e648b02729aafcd326db51c3af4679ff23"	@github-classic
^system-maintenance/claude-code/config/commands/tools\.md$	system-maintenance/claude-code/config/commands/tools.md	Pull web content/data into files         →  scrape (local, zero-API: crawl/map/render/PDF; --attach renders in your real logged-in Brave)	@r2-secret-keyword
^test/attachment-disk-admission\.test\.js$	test/attachment-disk-admission.test.js	const KEY = "0123456789abcdef";	@r2-secret-keyword
^test/attachment-store\.test\.js$	test/attachment-store.test.js	const KEY_B = "fedcba9876543210";	@r2-secret-keyword
^test/server-attachments\.test\.js$	test/server-attachments.test.js	const key = "0123456789abcdef";	@r2-secret-keyword
^test/server-whiteboard\.test\.js$	test/server-whiteboard.test.js	const sessionKey = "0123456789abcdef";	@r2-secret-keyword
^test/whiteboard-store\.test\.js$	test/whiteboard-store.test.js	const KEY = "0123456789abcdef";	@r2-secret-keyword
